filing_id,form_type,filer_committee_id_number,committee_name,election_state,election_district,report_code,col_a_total_individual_contributions,col_a_pac_contributions,col_a_candidate_contributions,col_a_candidate_loans,col_a_total_receipts,col_b_total_receipts,col_a_total_disbursements,col_a_cash_on_hand_close
1383779,F3N,C00730952,Foxx for North Carolina,NC,06,12P,52952.11,2500.00,0.00,0.00,55452.11,130772.71,59994.29,66587.68
1388170,F3N,C00649483,Betsy Dirksen Londrigan for Congress,IL,13,12P,265623.53,55950.00,100.00,0.00,321673.53,1809761.58,132195.69,1332938.96
1378852,F3A,C00652065,Debbie for Congress,FL,26,Q1,348756.22,101500.00,0.00,0.00,457009.91,513296.52,61561.23,435266.15
1388187,F3N,C00710459,Nikki Foster for Ohio,OH,01,12P,102670.47,3250.00,2359.64,0.00,128055.36,436668.06,147703.23,93824.71
1388205,F3N,C00729137,Friends of Eric Moyer,OH,10,12P,5124.94,0.00,0.00,0.00,5124.94,10891.94,6190.76,4268.93
1393164,F3N,C00714295,JACK BALLARD FOR MONTANA,MT,00,Q1,0.00,0.00,0.00,0.00,0.00,29955.00,9.00,99.36
1383835,F3A,C00735787,HARRY SOUTHERLAND FOR CONGRESS,NC,09,12P,975.00,0.00,0.00,7718.21,8693.21,8693.21,6600.20,2093.01
1384508,F3N,C00392688,"MCCAUL FOR CONGRESS, INC",TX,10,12P,36838.74,8250.00,0.00,0.00,62866.97,1641390.88,154371.85,892879.02
1384513,F3N,C00634253,Mike Levin for Congress,CA,49,12P,131641.56,12000.00,0.00,0.00,143662.20,2110900.84,199580.34,1291288.42
1384592,F3A,C00633982,Harley Rouda for Congress,CA,48,12P,229638.46,19000.00,0.00,0.00,248638.46,2635424.70,87482.06,1889230.87
1384635,F3N,C00732800,Patricia Timmons-Goodson for Congress,NC,08,12P,59812.42,2000.00,0.00,35000.00,96812.42,96812.42,36173.18,60639.24
1384647,F3N,C00729277,Deborah Ross for Congress,NC,02,12P,240839.78,16000.00,0.00,0.00,260490.11,561780.16,209281.95,313433.35
1384658,F3N,C00731919,Cynthia Wallace for Congress,NC,09,12P,25076.78,1300.00,1491.34,5000.00,32868.12,48082.12,10588.61,37140.02
1384674,F3N,C00371203,John Carter for Congress,TX,31,12P,40159.07,1000.00,0.00,0.00,41159.07,1119289.36,143280.97,671857.98
1384676,F3N,C00504522,HUDSON FOR CONGRESS,NC,08,12P,66595.00,53200.00,0.00,0.00,126184.17,1677481.93,146760.74,1362628.68
1384678,F3N,C00716845,KATHALEEN WALL FOR CONGRESS,TX,22,12P,7719.00,0.00,1645195.33,0.00,1652933.53,3257904.78,1615070.64,38446.22
1384684,F3N,C00714865,Beth Van Duyne for Congress,TX,24,12P,164246.53,12000.00,0.00,0.00,176246.53,766223.89,381555.48,230073.63
1384711,F3N,C00701706,Kim for Congress,TX,24,12P,105126.68,0.00,0.00,0.00,105126.68,967057.25,318411.85,291382.13
1384715,F3N,C00696104,Erica For US,NC,00,12P,45951.40,0.00,0.00,0.00,45951.40,238070.99,206.00,127543.21
1384737,F3N,C00731885,Swain for Congress,NC,02,12P,1585.00,0.00,5802.19,0.00,7387.19,9232.19,6261.89,1225.50
1384760,F3N,C00635888,Ammar Campa-Najjar for Congress,CA,50,12P,194870.76,4000.00,0.00,0.00,198926.82,1992540.41,453286.54,704428.72
1384755,F3N,C00730408,Sima for Texas,TX,02,12P,253071.11,0.00,0.00,0.00,253072.33,660853.73,241896.56,388921.90
1384785,F3N,C00706614,TONY GONZALES FOR CONGRESS,TX,23,12P,89584.00,7000.00,0.00,0.00,96584.00,481948.17,158812.69,204612.82
1384816,F3N,C00715235,Collins for Texas,TX,32,12P,175578.06,5000.00,0.00,0.00,180578.06,1096816.97,343658.68,623968.54
1384821,F3N,C00660795,DAN CRENSHAW FOR CONGRESS,TX,02,12P,1195719.24,15500.00,0.00,0.00,1213041.41,5528557.46,719046.96,2655428.78
1384822,F3N,C00662767,Chip Roy for Congress,TX,21,12P,184580.58,18000.00,0.00,0.00,202580.58,1828713.84,67278.55,1336102.47
1384830,F3N,C00712968,Royce West for U.S. Senate,TX,,12P,173411.54,4300.00,0.00,0.00,178359.30,1134953.16,396454.02,307611.36
1384880,F3N,C00701672,TUBERVILLE FOR SENATE,AL,,12P,182466.74,0.00,0.00,0.00,182716.74,2511153.92,597015.81,1109439.61
1384897,F3N,C00706754,Christine Mann for Congress,TX,31,12P,28023.35,0.00,0.00,0.00,28023.35,198783.11,55494.35,18109.21
1384894,F3N,C00721332,DARRELL ISSA FOR CONGRESS,CA,50,12P,307173.71,54800.00,0.00,0.00,2161973.71,4180718.78,2351968.75,1422221.27
1384900,F3N,C00636571,Katie Porter For Congress,CA,45,12P,328381.97,22350.00,0.00,0.00,361792.07,3949620.38,95648.28,3008910.70
1384912,F3N,C00551275,French Hill for Arkansas,AR,02,12P,115780.72,54500.00,0.00,0.00,171280.72,1363251.28,31717.43,1019012.50
1384925,F3N,C00666859,Maryott for Congress,CA,49,12P,138522.40,0.00,0.00,200000.00,338522.40,1165254.36,340704.59,328506.83
1379889,F3A,C00656785,Committee to Elect Cathy Albro for Congress,MI,03,Q1,1018.28,100.00,2500.00,0.00,3632.10,63256.50,14662.94,707.92
1384941,F3N,C00704981,Michelle Steel for Congress,CA,48,12P,102538.05,0.00,0.00,0.00,102538.05,1775815.27,342122.55,1134509.13
1384942,F3N,C00701003,HUNT FOR CONGRESS,TX,07,12P,548573.30,19000.00,0.00,0.00,567573.30,1895417.69,554796.96,821117.54
1384948,F3N,C00723536,JOSH WINEGARNER FOR CONGRESS,TX,13,12P,127051.22,30148.17,0.00,0.00,158099.39,502664.99,298672.27,141080.98
1384960,F3N,C00698134,Gandhi for Texas,TX,10,12P,79564.47,0.00,3500.00,0.00,83170.13,869277.65,440056.44,93866.34
1384978,F3N,C00730150,NEHLS FOR CONGRESS,TX,22,12P,88805.27,2097.64,0.00,0.00,95098.19,303845.64,108636.52,115703.02
1384988,F3N,C00702225,Candace for 24,TX,24,12P,109344.46,0.00,0.00,0.00,109344.46,442351.94,182612.11,68508.37
1385034,F3N,C00701102,MIKE GARCIA FOR CONGRESS,CA,25,12P,272751.55,40903.78,0.00,0.00,313655.33,1202848.61,349236.68,277234.23
